seuil_pente,seuil_ordonnee_a_l_origine,left_index_caracteristique1,right_index_caracteristique1,left_index_caracteristique2,right_index_caracteristique2,total_points_caracteristique1,total_points_caracteristique2,erreur
0.75,5.5,0,18,74,99,19,26,0.046979866
0.6,5.5,0,18,72,99,19,28,0.046979866
0.6,5.5,0,18,71,99,19,29,0.046979866
0.6,5.5,0,18,70,99,19,30,0.046979866
0.8,7.5,0,19,89,99,20,11,0.046979866
0.85,7,0,19,89,99,20,11,0.046979866
0.85,7.5,0,19,89,99,20,11,0.046979866
0.9,6,0,19,89,99,20,11,0.046979866
0.9,6.5,0,19,89,99,20,11,0.046979866
0.9,7,0,19,89,99,20,11,0.046979866
0.65,6.5,0,19,86,99,20,14,0.046979866
0.7,6,0,19,86,99,20,14,0.046979866
0.7,6.5,0,19,86,99,20,14,0.046979866
0.75,5.5,0,19,86,99,20,14,0.046979866
0.75,6,0,19,86,99,20,14,0.046979866
0.65,6.5,0,19,85,99,20,15,0.046979866
0.7,5.5,0,19,85,99,20,15,0.046979866
0.7,6,0,19,85,99,20,15,0.046979866
0.7,6.5,0,19,85,99,20,15,0.046979866
0.75,6,0,19,85,99,20,15,0.046979866
0.8,4,0,19,85,99,20,15,0.046979866
0.8,4.5,0,19,85,99,20,15,0.046979866
0.85,3,0,19,85,99,20,15,0.046979866
0.85,3.5,0,19,85,99,20,15,0.046979866
0.9,2,0,19,85,99,20,15,0.046979866
0.9,2.5,0,19,85,99,20,15,0.046979866
0.95,1,0,19,85,99,20,15,0.046979866
0.65,6.5,0,19,84,99,20,16,0.046979866
0.7,5.5,0,19,84,99,20,16,0.046979866
0.7,6,0,19,84,99,20,16,0.046979866
0.7,6.5,0,19,84,99,20,16,0.046979866
0.75,6,0,19,84,99,20,16,0.046979866
0.8,4,0,19,84,99,20,16,0.046979866
0.8,4.5,0,19,84,99,20,16,0.046979866
0.85,3,0,19,84,99,20,16,0.046979866
0.85,3.5,0,19,84,99,20,16,0.046979866
0.9,2,0,19,84,99,20,16,0.046979866
0.9,2.5,0,19,84,99,20,16,0.046979866
0.95,1,0,19,84,99,20,16,0.046979866
0.7,6.5,0,19,81,99,20,19,0.046979866
0.75,5.5,0,19,81,99,20,19,0.046979866
0.75,6,0,19,81,99,20,19,0.046979866
0.75,6,0,19,80,99,20,20,0.046979866
0.75,6,0,19,79,99,20,21,0.046979866
0.7,7,0,19,78,99,20,22,0.046979866
0.7,7.5,0,19,78,99,20,22,0.046979866
0.75,6,0,19,78,99,20,22,0.046979866
0.75,6.5,0,19,78,99,20,22,0.046979866
0.65,7,0,19,77,99,20,23,0.046979866
0.7,6,0,19,77,99,20,23,0.046979866
0.7,6.5,0,19,77,99,20,23,0.046979866
0.75,5.5,0,19,77,99,20,23,0.046979866
0.6,6.5,0,19,76,99,20,24,0.046979866
0.6,7,0,19,76,99,20,24,0.046979866
0.6,7.5,0,19,76,99,20,24,0.046979866
